Race Name,First Name,Last Name,Racer Number,Fastest Time
bahrain,Zhou,Guanyu,24,1:33.996
saudi-arabia,Max,Verstappen,1,1:31.906
australia,Sergio,Perez,11,1:20.235
azerbaijan,George,Russell,63,1:43.370
miami,Max,Verstappen,1,1:29.708
monaco,Lewis,Hamilton,44,1:15.650
spain,Max,Verstappen,1,1:16.330
canada,Sergio,Perez,11,1:14.481
austria,Max,Verstappen,1,1:07.012
great-britain,Max,Verstappen,1,1:30.275
hungary,Max,Verstappen,1,1:20.504
belgium,Lewis,Hamilton,44,1:47.305
netherlands,Fernando,Alonso,14,1:13.837
italy,Oscar,Piastri,81,1:25.072
singapore,Lewis,Hamilton,44,1:35.867
japan,Max,Verstappen,1,1:34.183
qatar,Max,Verstappen,1,1:24.319
united-states,Yuki,Tsunoda,22,1:38.139
mexico,Lewis,Hamilton,44,1:21.334
